DATE,OceanTemp,Salinity,SeaPressure,BlueCrabCatch,WaveDirection,AverageWavePeriod,DominantWavePeriod,WaveHeight,Gust,WindSpeed,WindDirection,Illum,PRCP,AvgDailyWind,Weekend,Attack
20100101,15.5,,1012.1,3088,123.1,5.37,9.09,1.42,11.4,9,350,FM,10,30,Yes,N
20100102,15.5,,1013,1234,123.1,4.52,4.76,1.86,16,12.1,316,FM,0,70,Yes,N
20100103,15.5,,1012.9,1234,123.1,5.15,6.67,2.36,13.8,11.2,303,FM,0,72,Yes,N
20100104,15.5,,1014.2,826,123.1,5.16,9.09,1.67,9.6,7.1,307,FQ,0,46,No,N
20100105,15.5,,1013.2,1041,123.1,4.09,3.57,1.2,10.4,8.3,307,FQ,0,43,No,N
20100106,15.5,,1014.7,881,123.1,4.32,4.35,1.35,10.6,8.4,299,FQ,0,47,No,N
20100107,15.5,,1019.9,2659,123.1,4.67,7.69,1.13,5.8,4.5,307,FQ,0,30,No,N
20100108,15.5,,1011.6,1170,123.1,5.14,6.67,2.4,13.2,11.6,296,LQ,13,52,Yes,N
20100109,15.5,,1021.2,2006,123.1,5.04,5.56,1.44,10.4,8.1,339,LQ,0,31,Yes,N
20100110,15.5,,1023.1,1234,123.1,5.09,5.88,2.02,16.5,13.6,358,LQ,0,43,Yes,N
20100111,15.5,,1026.6,3044,123.1,5.53,8.33,1.42,7.8,6.4,319,NM,0,28,No,N
20100112,15.5,,1020.2,2509,123.1,4.8,6.67,1.28,10.2,7.7,345,NM,0,26,No,N
20100113,15.5,,1027.6,3994,123.1,4.36,7.14,1.3,10.8,8.4,338,NM,0,22,No,N
20100114,15.5,,1027.3,4821,123.1,4.99,8.33,0.88,6.1,3.8,281,NM,0,18,No,N
20100115,15.5,,1026.8,5761,123.1,4.26,8.33,0.6,5.4,4.3,289,NM,0,27,Yes,N
20100116,15.5,,1026.1,5430,123.1,4.64,10.81,0.3,3.9,3,349,NM,3,15,Yes,N
20100117,15.5,,1007.3,1234,123.1,6.16,7.69,3.7,18.8,15.5,168,NM,381,60,Yes,N
20100118,15.5,,1011.1,1234,123.1,5.78,9.09,2.18,13,10.5,320,NM,0,24,No,N
20100119,15.5,,1016.6,3265,123.1,5.8,9.09,1.22,8.8,7.2,239,LQ,0,26,No,N
20100120,15.5,,1014.4,1040,123.1,7.75,12.12,1.49,5,4,284,LQ,0,29,No,N
20100121,15.5,,1015.1,1234,123.1,6.21,7.69,2.49,15.9,12.6,30,LQ,470,51,No,N
20100122,15.5,,1007.1,1234,123.1,6.64,8.33,2.57,8.5,6.9,330,LQ,127,43,Yes,N
20100123,15.5,,1020.8,845,123.1,8.3,13.79,3.51,11.1,9,359,FQ,0,39,Yes,N
20100124,15.5,,1017.5,1920,123.1,6.87,12.9,3.17,15,11.9,172,FQ,13,53,Yes,N
20100125,15.5,,1000.4,588,123.1,8.56,10.81,7.85,11.5,9.5,246,FQ,315,88,No,N
20100126,15.5,,1012,1645,123.1,6.18,10,2.67,13.6,10.8,266,FM,0,47,No,N
20100127,15.5,,1024.3,3591,123.1,5.09,8.33,1.22,6.6,4.8,334,FM,0,34,No,N
20100128,15.5,,1023.4,3043,123.1,3.66,3.33,0.79,9.5,7.5,249,FM,0,47,No,N
