DATE,MLLW,OceanTemp,Salinity,SeaPressure,BlueCrabCatch,WaveDirection,AverageWavePeriod,DominantWavePeriod,WaveHeight,Gust,WindSpeed,WindDirection,Illum,PRCP,AvgDailyWind,Weekend,Attack
20100101,0.376,15.5,36.11375,1012.1,3088,123.1,5.37,9.09,1.42,11.4,9,350,FM,10,30,Yes,N
20100102,0.376,15.5,36.11375,1013,1234,123.1,4.52,4.76,1.86,16,12.1,316,FM,0,70,Yes,N
20100103,0.376,15.5,36.11375,1012.9,1234,123.1,5.15,6.67,2.36,13.8,11.2,303,FM,0,72,Yes,N
20100104,0.376,15.5,36.11375,1014.2,826,123.1,5.16,9.09,1.67,9.6,7.1,307,FQ,0,46,No,N
20100105,0.376,15.5,36.11375,1013.2,1041,123.1,4.09,3.57,1.2,10.4,8.3,307,FQ,0,43,No,N
20100106,0.376,15.5,36.11375,1014.7,881,123.1,4.32,4.35,1.35,10.6,8.4,299,FQ,0,47,No,N
20100107,0.376,15.5,36.11375,1019.9,2659,123.1,4.67,7.69,1.13,5.8,4.5,307,FQ,0,30,No,N
20100108,0.376,15.5,36.11375,1011.6,1170,123.1,5.14,6.67,2.4,13.2,11.6,296,LQ,13,52,Yes,N
20100109,0.376,15.5,36.11375,1021.2,2006,123.1,5.04,5.56,1.44,10.4,8.1,339,LQ,0,31,Yes,N
20100110,0.376,15.5,36.11375,1023.1,1234,123.1,5.09,5.88,2.02,16.5,13.6,358,LQ,0,43,Yes,N
20100111,0.376,15.5,36.11375,1026.6,3044,123.1,5.53,8.33,1.42,7.8,6.4,319,NM,0,28,No,N
20100112,0.376,15.5,36.11375,1020.2,2509,123.1,4.8,6.67,1.28,10.2,7.7,345,NM,0,26,No,N
20100113,0.376,15.5,36.11375,1027.6,3994,123.1,4.36,7.14,1.3,10.8,8.4,338,NM,0,22,No,N
20100114,0.376,15.5,36.11375,1027.3,4821,123.1,4.99,8.33,0.88,6.1,3.8,281,NM,0,18,No,N
20100115,0.376,15.5,36.11375,1026.8,5761,123.1,4.26,8.33,0.6,5.4,4.3,289,NM,0,27,Yes,N
20100116,0.376,15.5,36.11375,1026.1,5430,123.1,4.64,10.81,0.3,3.9,3,349,NM,3,15,Yes,N
20100117,0.376,15.5,36.11375,1007.3,1234,123.1,6.16,7.69,3.7,18.8,15.5,168,NM,381,60,Yes,N
20100118,0.376,15.5,36.11375,1011.1,1234,123.1,5.78,9.09,2.18,13,10.5,320,NM,0,24,No,N
20100119,0.376,15.5,36.11375,1016.6,3265,123.1,5.8,9.09,1.22,8.8,7.2,239,LQ,0,26,No,N
20100120,0.376,15.5,36.11375,1014.4,1040,123.1,7.75,12.12,1.49,5,4,284,LQ,0,29,No,N
20100121,0.376,15.5,36.11375,1015.1,1234,123.1,6.21,7.69,2.49,15.9,12.6,30,LQ,470,51,No,N
20100122,0.376,15.5,36.11375,1007.1,1234,123.1,6.64,8.33,2.57,8.5,6.9,330,LQ,127,43,Yes,N
20100123,0.376,15.5,36.11375,1020.8,845,123.1,8.3,13.79,3.51,11.1,9,359,FQ,0,39,Yes,N
20100124,0.376,15.5,36.11375,1017.5,1920,123.1,6.87,12.9,3.17,15,11.9,172,FQ,13,53,Yes,N
20100125,0.376,15.5,36.11375,1000.4,588,123.1,8.56,10.81,7.85,11.5,9.5,246,FQ,315,88,No,N
20100126,0.376,15.5,36.11375,1012,1645,123.1,6.18,10,2.67,13.6,10.8,266,FM,0,47,No,N
20100127,0.376,15.5,36.11375,1024.3,3591,123.1,5.09,8.33,1.22,6.6,4.8,334,FM,0,34,No,N
20100128,0.376,15.5,36.11375,1023.4,3043,123.1,3.66,3.33,0.79,9.5,7.5,249,FM,0,47,No,N
20100129,0.376,15.5,36.11375,1025.6,588,123.1,4.79,7.69,1.92,14.4,11.4,23,NM,0,60,Yes,N
20100130,0.376,15.5,36.11375,1009.4,732,123.1,5.43,6.67,2.52,17.8,14.2,110,FM,333,60,Yes,N
20100131,0.376,15.5,36.11375,1020.9,617,123.1,5.64,10,2.81,15.5,12,348,FM,0,38,Yes,N
20100201,0.256,14.5,33.26233333,1028.7,1234,98,7.37,10,1.74,5.8,4.9,353,FM,0,21,No,N
20100202,0.256,14.5,33.26233333,1018.9,1234,98,4.53,12.9,0.93,10.7,8.6,117,FM,165,33,No,N
20100203,0.256,14.5,33.26233333,1018.2,3519,98,4.58,9.09,1.84,13.4,11.3,350,FQ,0,32,No,N
20100204,0.256,14.5,33.26233333,1028.3,2957,98,5.81,10.81,2.16,11.1,9.6,6,FQ,0,36,No,N
20100205,0.256,14.5,33.26233333,1020.2,1234,98,5.3,10.81,1.69,10.9,8.9,117,FQ,239,63,Yes,N
20100206,0.256,14.5,33.26233333,996.4,1234,98,6.26,10.81,3.45,17.9,14.9,273,LQ,185,72,Yes,N
20100207,0.256,14.5,33.26233333,1015.3,2209,98,6.92,13.79,2.78,11.1,9.2,354,LQ,0,34,Yes,N
20100208,0.256,14.5,33.26233333,1022.2,1234,98,6.46,12.12,1.68,6.3,5.5,346,LQ,0,17,No,N
20100209,0.256,14.5,33.26233333,1019.8,2466,98,5.47,7.69,0.83,6.8,5.8,26,LQ,315,30,No,N
20100210,0.256,14.5,33.26233333,998.2,851,98,5.53,7.14,3.28,21.4,18.1,281,NM,3,87,No,N
20100211,0.256,14.5,33.26233333,1009.8,1636,98,5.49,5.88,2.48,12.9,10.9,316,NM,0,56,No,N
20100212,0.256,14.5,33.26233333,1014.2,1336,98,7.15,12.9,2.29,8.2,7.1,7,NM,5,34,Yes,N
20100213,0.256,14.5,33.26233333,1004.1,1538,98,5.4,6.25,2.57,14.3,12.3,322,NM,94,58,Yes,N
20100214,0.256,14.5,33.26233333,1013.4,3791,98,4.89,6.67,1.66,9.9,7.7,300,NM,0,46,Yes,N
20100215,0.256,14.5,33.26233333,1012.9,1234,98,4.52,6.67,1.01,4.6,4.3,250,NM,5,40,No,N
20100216,0.256,14.5,33.26233333,1009,4323,98,5.23,8.33,2.28,13.6,11,282,NM,0,56,No,N
20100217,0.256,14.5,33.26233333,1009.8,3004,98,4.2,6.25,1.15,8.9,7,283,NM,0,46,No,N
20100218,0.256,14.5,33.26233333,1012,4317,98,4.47,5.88,1.64,11.3,9.5,301,LQ,0,49,No,N
20100219,0.256,14.5,33.26233333,1017.6,702,98,4.18,5.56,1.39,9.1,7.7,319,LQ,0,37,Yes,N
20100220,0.256,14.5,33.26233333,1021.6,1843,98,4.82,5.26,1.04,5.2,3.7,313,LQ,0,26,Yes,N
20100221,0.256,14.5,33.26233333,1021.4,2359,98,3.58,3.23,0.71,4,3.4,358,FQ,0,23,Yes,N
20100222,0.256,14.5,33.26233333,1011.5,180,98,3.83,7.69,0.68,10.4,8.7,181,FQ,254,26,No,N
20100223,0.256,14.5,33.26233333,1005.2,1796,98,4.89,10,1.49,10.5,8.7,304,FQ,0,32,No,N
20100224,0.256,14.5,33.26233333,1011,2790,98,5.65,9.09,1.33,8,6.6,50,FQ,36,35,No,N
20100225,0.256,14.5,33.26233333,1003.4,552,98,4.61,4.76,1.6,13.3,10.8,298,FM,25,58,No,N
20100226,0.256,14.5,33.26233333,1004.8,753,98,6.21,9.09,3.62,17.8,13.3,271,FM,0,80,Yes,N
20100227,0.256,14.5,33.26233333,1006.9,735,98,6.27,8.33,2.25,7.9,5.3,284,NM,0,31,Yes,N
20100228,0.256,14.5,33.26233333,1006.7,838,98,5.1,7.69,1.64,10.7,9,312,FM,0,38,Yes,N
20100301,0.511,15.6,36.10675,1015.8,948,147.8,4.29,5.26,1.23,6.6,5.2,310,FM,0,39,No,N
20100302,0.511,15.6,36.10675,1009.5,2553,147.8,4.18,10.81,1.09,11.2,9,72,FM,315,50,No,N
20100303,0.511,15.6,36.10675,998,7392,147.8,5.85,9.09,3.2,16,13,320,FM,13,64,No,N
20100304,0.511,15.6,36.10675,1010,10201,147.8,5.83,11.43,1.99,8.8,6.9,308,FQ,0,34,No,N
20100305,0.511,15.6,36.10675,1016.4,18706,147.8,5.97,12.12,1.74,8.7,7.1,347,FQ,0,36,Yes,N
20100306,0.511,15.6,36.10675,1021.4,18737,147.8,5.94,12.12,2.33,12,10,354,FQ,0,37,Yes,N
20100307,0.511,15.6,36.10675,1023,7908,147.8,7.79,12.12,1.8,4.9,3.8,301,FQ,0,25,Yes,N
20100308,0.511,15.6,36.10675,1017,7020,147.8,7.38,12.12,1.24,3.2,2.6,296,LQ,0,21,No,N
20100309,0.511,15.6,36.10675,1018.6,20606,147.8,6.54,10.81,0.63,3.8,2.5,353,LQ,0,18,No,N
20100310,0.511,15.6,36.10675,1017.4,16601,147.8,3.86,5.88,0.85,8.9,7.8,246,LQ,0,26,No,N
20100311,0.511,15.6,36.10675,1016.7,15742,147.8,4.54,5,0.84,6.5,5.3,139,LQ,104,27,No,N
20100312,0.511,15.6,36.10675,1007.3,12698,147.8,6.16,7.69,3.61,15.1,12.4,123,NM,467,60,Yes,N
20100313,0.511,15.6,36.10675,997.2,18581,147.8,8.21,9.09,2.87,10.8,8.9,237,NM,58,46,Yes,N
20100314,0.511,15.6,36.10675,999.9,13134,147.8,6.63,10.81,2.52,9.5,8.1,249,NM,0,46,Yes,N
20100315,0.511,15.6,36.10675,1003.4,9065,147.8,6.93,10,1.72,4.3,3.5,273,NM,3,36,No,N
20100316,0.511,15.6,36.10675,1013.4,26946,147.8,5.5,12.12,2,13.6,11,352,NM,0,49,No,N
20100317,0.511,15.6,36.10675,1017.4,28551,147.8,8.52,13.79,2.27,7.6,6.7,10,NM,0,32,No,N
20100318,0.511,15.6,36.10675,1008.5,37889,147.8,6.36,10.81,1.95,9.8,8.2,12,NM,3,37,No,N
20100319,0.511,15.6,36.10675,1013.2,27787,147.8,6.95,10.81,1.96,4.7,4.2,345,LQ,0,22,Yes,N
20100320,0.511,15.6,36.10675,1020.5,42445,147.8,6.94,8.33,1.13,3,2.4,249,LQ,0,17,Yes,N
20100321,0.511,15.6,36.10675,1021.3,11714,147.8,4.65,10.81,0.65,4,2.8,178,LQ,10,26,Yes,N
20100322,0.511,15.6,36.10675,1009.9,19917,147.8,6.14,8.33,3.31,21.4,16.8,183,LQ,18,64,No,N
20100323,0.511,15.6,36.10675,1007.5,16454,147.8,5.52,9.09,2.7,15.5,12.5,249,FQ,0,68,No,N
20100324,0.511,15.6,36.10675,1017.8,39650,147.8,4.91,8.33,1.26,6.4,4.9,288,FQ,0,36,No,N
20100325,0.511,15.6,36.10675,1018.4,28309,147.8,3.54,3.85,0.99,12.5,10.4,197,FQ,0,49,No,N
20100326,0.511,15.6,36.10675,1003.3,36791,147.8,6.23,8.33,2.6,10.3,8.2,250,FM,150,67,Yes,N
20100327,0.511,15.6,36.10675,1024.5,35232,147.8,6.34,12.12,2.83,15.3,12.4,11,FM,0,59,Yes,N
20100328,0.511,15.6,36.10675,1021.4,23682,147.8,5.83,12.12,1.91,11.7,9.4,148,NM,0,50,Yes,N
20100329,0.511,15.6,36.10675,1004.2,8363,147.8,6.81,8.33,4.31,16.9,14.2,169,FM,663,60,No,N
20100330,0.511,15.6,36.10675,1007,57308,147.8,7.66,10,2.75,5.4,3.8,309,FM,3,45,No,N
20100331,0.511,15.6,36.10675,1014,41604,147.8,5.81,10,1.67,3.8,3,259,FM,0,37,No,N
20100401,0.355,18.8,35.87,1020.3,54114,104.2,6.89,11.43,1.04,2,1.7,19,FM,0,20,No,N
20100402,0.355,18.8,35.87,1021.8,39771,104.2,6.91,10.81,1.27,6,5.1,26,FM,0,25,Yes,N
20100403,0.355,18.8,35.87,1021.2,37034,104.2,7.06,9.09,1.44,4.4,3.3,176,FQ,0,21,Yes,N
20100404,0.355,18.8,35.87,1022,80830,104.2,6.34,8.33,0.87,8.2,7.3,233,FQ,0,24,Yes,N
20100405,0.355,18.8,35.87,1022.2,27711,104.2,3.65,7.69,0.74,10.9,9,226,FQ,0,42,No,N
20100406,0.355,18.8,35.87,1018.7,87553,104.2,4.4,6.25,1.02,9.9,8.5,225,LQ,0,59,No,N
20100407,0.355,18.8,35.87,1016.9,42006,104.2,4.57,6.25,1.62,12.3,10.5,227,LQ,0,74,No,N
20100408,0.355,18.8,35.87,1014.7,24050,104.2,4.87,7.14,1.51,11,9.1,215,LQ,0,62,No,N
20100409,0.355,18.8,35.87,1007.7,70430,104.2,6.33,9.09,2.97,13.3,10.2,271,LQ,391,44,Yes,N
20100410,0.355,18.8,35.87,1028.2,44226,104.2,5.01,7.69,1.01,6.1,4.8,19,NM,0,30,Yes,N
20100411,0.355,18.8,35.87,1028.5,23849,104.2,5.3,6.67,0.66,2.6,1.7,139,NM,0,19,Yes,N
20100412,0.355,18.8,35.87,1026.6,22524,104.2,5.54,6.25,0.54,1.7,1.1,350,NM,0,20,No,N
20100413,0.355,18.8,35.87,1027.7,67141,104.2,5.16,7.14,0.76,1.4,0.8,352,NM,0,20,No,N
20100414,0.355,18.8,35.87,1031,57808,104.2,5.46,8.33,2.18,12.9,10.5,15,NM,5,54,No,N
20100415,0.355,18.8,35.87,1029.3,35856,104.2,5.11,8.33,1.17,5.3,3.8,354,NM,0,27,No,N
20100416,0.355,18.8,35.87,1018.4,30017,104.2,4.21,4.55,1.17,10.8,8.7,234,NM,0,59,Yes,N
20100417,0.355,18.8,35.87,1010.3,44522,104.2,5.52,7.69,2.4,12,10,247,NM,0,57,Yes,N
20100418,0.355,18.8,35.87,1015.4,18208,104.2,4.83,6.25,1.36,9.3,7.6,17,LQ,0,40,Yes,N
20100419,0.355,18.8,35.87,1017.5,10855,104.2,4.44,11.43,0.85,4.3,3.6,33,LQ,0,26,No,N
20100420,0.355,18.8,35.87,1017.2,44103,104.2,6.59,11.43,0.54,3.6,3.1,282,LQ,0,21,No,N
20100421,0.355,18.8,35.87,1011,26807,104.2,6.92,12.9,0.66,2.3,1.4,105,FQ,61,17,No,N
20100422,0.355,18.8,35.87,1010.3,64639,104.2,5.19,6.67,0.98,3.8,3.2,273,FQ,0,31,No,N
20100423,0.355,18.8,35.87,1014,63395,104.2,4.58,10.81,0.57,4.3,3.3,249,FQ,0,29,Yes,N
20100424,0.355,18.8,35.87,1017.2,57811,104.2,4.13,5.26,1,7.8,7,112,FM,3,47,Yes,N
20100425,0.355,18.8,35.87,1006.1,38354,104.2,5.33,5.88,2.05,7.4,6.5,216,FM,30,54,Yes,N
20100426,0.355,18.8,35.87,994,32908,104.2,5.94,8.33,2.47,9.6,8.5,218,NM,0,60,No,N
20100427,0.355,18.8,35.87,998.6,75503,104.2,6.15,7.69,2.23,5.1,4.4,236,FM,0,52,No,N
20100428,0.955,18.8,35.87,1010.4,106643,104.2,5.6,7.69,1.7,9.1,6.5,302,FM,23,39,No,N
20100429,0.584,18.8,35.87,1018.2,107466,104.2,5.04,5.56,0.94,4.4,3.8,234,FM,0,33,No,N
20100430,0.223,18.8,35.87,1017.6,110720,104.2,4.34,5,0.88,6.3,5.4,222,FM,0,51,Yes,N
20100501,0.436,22.5,35.516,1017.3,133481,113,4.2,5,0.84,5.9,5.4,207,FM,0,54,Yes,N
20100502,0.177,22.5,35.516,1018.5,92669,113,4.19,6.25,0.99,8.1,7.2,198,FQ,0,60,Yes,N
